,股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
337,603000.SH,20240123,22.58,23.38,22.35,23.18,22.55,0.63,2.7938,235204.06,542433.198,23.18,2.1272,4.8964,1.12,82.6236,95.348,7.3395,12.959,12.6534,0.7032,0.7032,110569.1056,110569.1056,48036.5035,2562991.8678,2562991.8678
338,603000.SH,20240122,23.9,24.32,22.3,22.55,23.9,-1.35,-5.6485,216289.48,504041.05,22.55,1.9561,4.5026,1.13,80.378,92.7566,7.14,12.6068,12.3095,0.7228,0.7228,110569.1056,110569.1056,48036.5035,2493333.3313,2493333.3313
339,603000.SH,20240119,23.76,24.64,23.6,23.9,23.77,0.13,0.5469,294607.55,710762.212,23.9,2.6645,6.133,1.81,85.19,98.3096,7.5675,13.3615,13.0464,0.682,0.682,110569.1056,110569.1056,48036.5035,2642601.6238,2642601.6238
340,603000.SH,20240118,23.38,23.95,22.95,23.77,23.61,0.16,0.6777,231164.25,539609.791,23.77,2.0907,4.8123,1.46,84.7266,97.7749,7.5263,13.2888,12.9754,0.6857,0.6857,110569.1056,110569.1056,48036.5035,2628227.6401,2628227.6401
341,603000.SH,20240117,24.49,24.66,23.6,23.61,24.24,-0.63,-2.599,158631.06,382258.104,23.61,1.4347,3.3023,0.89,84.1563,97.1167,7.4756,13.1994,12.8881,0.6904,0.6904,110569.1056,110569.1056,48036.5035,2610536.5832,2610536.5832
342,603000.SH,20240116,24.48,24.55,23.86,24.24,24.48,-0.24,-0.9804,149622.93,360710.436,24.24,1.3532,3.1148,0.81,86.4019,99.7082,7.6751,13.5516,13.232,0.6724,0.6724,110569.1056,110569.1056,48036.5035,2680195.1197,2680195.1197
343,603000.SH,20240115,24.5,24.83,24.35,24.48,24.6,-0.12,-0.4878,121155.01,297870.456,24.48,1.0957,2.5221,0.63,87.2573,100.6954,7.7511,13.6858,13.363,0.6658,0.6658,110569.1056,110569.1056,48036.5035,2706731.7051,2706731.7051
344,603000.SH,20240112,25.17,25.4,24.6,24.6,25.25,-0.65,-2.5743,151863.37,376696.107,24.6,1.3735,3.1614,0.79,87.6851,101.189,7.7891,13.7529,13.4285,0.6626,0.6626,110569.1056,110569.1056,48036.5035,2719999.9978,2719999.9978
345,603000.SH,20240111,24.53,25.33,24.53,25.25,24.53,0.72,2.9352,209703.63,525929.179,25.25,1.8966,4.3655,1.16,90.0019,103.8627,7.9949,14.1162,13.7833,0.6455,0.6455,110569.1056,110569.1056,48036.5035,2791869.9164,2791869.9164
346,603000.SH,20240110,25.54,25.54,24.53,24.53,25.69,-1.16,-4.5154,261299.12,647244.813,24.53,2.3632,5.4396,1.65,87.4355,100.901,7.7669,13.7137,13.3903,0.6645,0.6645,110569.1056,110569.1056,48036.5035,2712260.1604,2712260.1604
347,603000.SH,20240109,25.8,26.3,25.33,25.69,25.79,-0.1,-0.3877,174114.06,448739.336,25.69,1.5747,3.6246,0.96,91.5703,105.6726,8.1342,14.3622,14.0235,0.6345,0.6345,110569.1056,110569.1056,48036.5035,2840520.3229,2840520.3229
348,603000.SH,20240108,26.6,26.65,25.79,25.79,26.56,-0.77,-2.8991,168108.19,438131.348,25.79,1.5204,3.4996,0.77,91.9267,106.0839,8.1659,14.4181,14.0781,0.632,0.632,110569.1056,110569.1056,48036.5035,2851577.2334,2851577.2334
349,603000.SH,20240105,27.19,27.33,26.3,26.56,26.99,-0.43,-1.5932,149594.84,400448.347,26.56,1.353,3.1142,0.62,94.6713,109.2512,8.4097,14.8486,14.4984,0.6137,0.6137,110569.1056,110569.1056,48036.5035,2936715.4447,2936715.4447
350,603000.SH,20240104,27.26,27.4,26.61,26.99,27.22,-0.23,-0.845,152518.94,411220.632,26.99,1.3794,3.1751,0.62,96.2041,111.0199,8.5458,15.089,14.7332,0.6039,0.6039,110569.1056,110569.1056,48036.5035,2984260.1601,2984260.1601
351,603000.SH,20240103,27.53,27.65,27.11,27.22,27.65,-0.43,-1.5552,149562.53,409438.071,27.22,1.3527,3.1135,0.57,97.0239,111.966,8.6187,15.2176,14.8587,0.5988,0.5988,110569.1056,110569.1056,48036.5035,3009691.0544,3009691.0544
352,603000.SH,20240102,27.8,28.25,27.36,27.65,27.98,-0.33,-1.1794,288831.55,801551.744,27.65,2.6122,6.0128,1.12,98.5566,113.7348,8.7548,15.458,15.0934,0.5895,0.5895,110569.1056,110569.1056,48036.5035,3057235.7698,3057235.7698
353,603000.SH,20231229,26.96,28.13,26.91,27.98,26.96,1.02,3.7834,351288.91,972230.397,27.98,3.1771,7.313,1.29,99.7328,115.0922,8.8593,15.6425,15.2736,0.3753,0.5826,110569.1056,110569.1056,48036.5035,3093723.5747,3093723.5747
