股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
000608.SZ,20211126,week,2.91,2.98,2.87,2.88,2.91,2.91,2.98,2.87,2.88,32.37,33.15,31.93,32.04,153435.51,44569.45,-0.03,-0.01
000608.SZ,20211119,week,2.85,2.99,2.82,2.91,2.87,2.85,2.99,2.82,2.91,31.71,33.26,31.37,32.37,243710.6,71099.09,0.04,0.01
000608.SZ,20211112,week,2.81,2.94,2.75,2.87,2.81,2.81,2.94,2.75,2.87,31.26,32.71,30.59,31.93,195278.51,55658.19,0.06,0.02
000608.SZ,20211105,week,2.84,2.91,2.72,2.81,2.84,2.84,2.91,2.72,2.81,31.6,32.37,30.26,31.26,198926.24,56305.88,-0.03,-0.01
000608.SZ,20211029,week,2.93,2.95,2.81,2.84,2.96,2.93,2.95,2.81,2.84,32.6,32.82,31.26,31.6,165832.83,47271.28,-0.12,-0.04
000608.SZ,20211022,week,3.0,3.06,2.93,2.96,3.0,3.0,3.06,2.93,2.96,33.38,34.04,32.6,32.93,145275.07,43527.26,-0.04,-0.01
000608.SZ,20211015,week,3.1,3.14,3.0,3.0,3.1,3.1,3.14,3.0,3.0,34.49,34.93,33.38,33.38,188538.31,57759.33,-0.1,-0.03
000608.SZ,20211008,week,3.02,3.11,3.0,3.1,3.02,3.02,3.11,3.0,3.1,33.6,34.6,33.38,34.49,44636.73,13734.72,0.08,0.03
000608.SZ,20211001,week,3.07,3.1,2.96,3.02,3.06,3.07,3.1,2.96,3.02,34.15,34.49,32.93,33.6,165267.12,49683.51,-0.04,-0.01
000608.SZ,20210924,week,3.1,3.21,3.05,3.06,3.13,3.1,3.21,3.05,3.06,34.49,35.71,33.93,34.04,181310.51,56661.61,-0.07,-0.02
000608.SZ,20210917,week,3.26,3.31,3.09,3.13,3.26,3.26,3.31,3.09,3.13,36.27,36.82,34.38,34.82,280678.57,90005.07,-0.13,-0.04
000608.SZ,20210910,week,3.24,3.35,3.21,3.26,3.23,3.24,3.35,3.21,3.26,36.05,37.27,35.71,36.27,335161.37,109734.11,0.03,0.01
000608.SZ,20210903,week,3.55,3.55,3.21,3.23,3.73,3.55,3.55,3.21,3.23,39.49,39.49,35.71,35.93,652732.09,216692.0,-0.5,-0.13
000608.SZ,20210827,week,3.88,4.22,3.73,3.73,3.91,3.88,4.22,3.73,3.73,43.17,46.95,41.5,41.5,712148.72,281196.33,-0.18,-0.05
000608.SZ,20210820,week,3.54,3.96,3.52,3.91,3.54,3.54,3.96,3.52,3.91,39.38,44.06,39.16,43.5,576140.05,215841.98,0.37,0.1
000608.SZ,20210813,week,3.57,3.62,3.51,3.54,3.58,3.57,3.62,3.51,3.54,39.72,40.27,39.05,39.38,232187.41,82554.38,-0.04,-0.01
000608.SZ,20210806,week,3.43,3.58,3.37,3.58,3.42,3.43,3.58,3.37,3.58,38.16,39.83,37.49,39.83,323077.7,112840.66,0.16,0.05
000608.SZ,20210730,week,3.47,3.5,3.17,3.42,3.46,3.47,3.5,3.17,3.42,38.6,38.94,35.27,38.05,253482.65,85349.39,-0.04,-0.01
000608.SZ,20210723,week,3.47,3.53,3.42,3.46,3.48,3.47,3.53,3.42,3.46,38.6,39.27,38.05,38.49,178332.68,61839.12,-0.02,-0.01
000608.SZ,20210716,week,3.49,3.52,3.41,3.48,3.48,3.49,3.52,3.41,3.48,38.83,39.16,37.94,38.72,185780.91,64207.57,0.0,0.0
000608.SZ,20210709,week,3.51,3.57,3.45,3.48,3.52,3.51,3.57,3.45,3.48,39.05,39.72,38.38,38.72,215282.85,75762.92,-0.04,-0.01
000608.SZ,20210702,week,3.52,3.59,3.47,3.52,3.51,3.52,3.59,3.47,3.52,39.16,39.94,38.6,39.16,238845.18,84069.08,0.01,0.0
000608.SZ,20210625,week,3.47,3.53,3.41,3.51,3.49,3.47,3.53,3.41,3.51,38.6,39.27,37.94,39.05,175711.43,61065.25,0.02,0.01
000608.SZ,20210618,week,3.62,3.63,3.43,3.49,3.63,3.62,3.63,3.43,3.49,40.27,40.38,38.16,38.83,187379.0,65324.12,-0.14,-0.04
000608.SZ,20210611,week,3.7,3.73,3.56,3.63,3.7,3.7,3.73,3.56,3.63,41.16,41.5,39.61,40.38,280073.23,101054.78,-0.07,-0.02
000608.SZ,20210604,week,3.71,3.91,3.55,3.7,3.73,3.71,3.91,3.55,3.7,41.27,43.5,39.49,41.16,575151.5,212966.91,-0.03,-0.01
000608.SZ,20210528,week,3.59,3.75,3.51,3.73,3.6,3.59,3.75,3.51,3.73,39.94,41.72,39.05,41.5,412530.67,149813.01,0.13,0.04
000608.SZ,20210521,week,3.66,3.72,3.4,3.6,3.7,3.66,3.72,3.4,3.6,40.72,41.39,37.83,40.05,493805.83,174569.58,-0.1,-0.03
000608.SZ,20210514,week,3.48,3.85,3.3,3.7,3.49,3.48,3.85,3.3,3.7,38.72,42.83,36.71,41.16,506829.58,187240.1,0.21,0.06
000608.SZ,20210507,week,3.57,3.6,3.42,3.49,3.6,3.57,3.6,3.42,3.49,39.72,40.05,38.05,38.83,119474.76,41907.6,-0.11,-0.03
000608.SZ,20210430,week,3.52,3.7,3.32,3.6,3.53,3.52,3.7,3.32,3.6,39.16,41.16,36.94,40.05,364366.32,129123.09,0.07,0.02
000608.SZ,20210423,week,3.78,3.89,3.45,3.53,3.78,3.78,3.89,3.45,3.53,42.05,43.28,38.38,39.27,439496.97,160724.65,-0.25,-0.07
000608.SZ,20210416,week,3.96,4.11,3.59,3.78,3.94,3.96,4.11,3.59,3.78,44.06,45.72,39.94,42.05,694432.47,262543.36,-0.16,-0.04
000608.SZ,20210409,week,4.05,4.47,3.77,3.94,4.06,4.05,4.47,3.77,3.94,45.06,49.73,41.94,43.83,1518198.43,630865.5,-0.12,-0.03
000608.SZ,20210402,week,3.27,4.06,3.22,4.06,3.29,3.27,4.06,3.22,4.06,36.38,45.17,35.82,45.17,773282.07,277815.56,0.77,0.23
000608.SZ,20210326,week,3.2,3.36,3.18,3.29,3.18,3.2,3.36,3.18,3.29,35.6,37.38,35.38,36.6,299026.56,97994.91,0.11,0.03
000608.SZ,20210319,week,3.06,3.22,3.04,3.18,3.06,3.06,3.22,3.04,3.18,34.04,35.82,33.82,35.38,179778.78,56434.49,0.12,0.04
000608.SZ,20210312,week,3.19,3.22,2.97,3.06,3.17,3.19,3.22,2.97,3.06,35.49,35.82,33.04,34.04,209455.92,64342.9,-0.11,-0.03
000608.SZ,20210305,week,3.24,3.29,3.1,3.17,3.19,3.24,3.29,3.1,3.17,36.05,36.6,34.49,35.27,251156.25,79954.62,-0.02,-0.01
000608.SZ,20210226,week,3.12,3.38,3.11,3.19,3.14,3.12,3.38,3.11,3.19,34.71,37.6,34.6,35.49,369568.31,119069.94,0.05,0.02
000608.SZ,20210219,week,2.97,3.15,2.92,3.14,2.91,2.97,3.15,2.92,3.14,33.04,35.04,32.49,34.93,110496.51,33661.66,0.23,0.08
000608.SZ,20210212,week,2.85,3.05,2.82,2.91,2.85,2.85,3.05,2.82,2.91,31.71,33.93,31.37,32.37,100734.73,29237.12,0.06,0.02
000608.SZ,20210205,week,3.15,3.31,2.81,2.85,3.13,3.15,3.31,2.81,2.85,35.04,36.82,31.26,31.71,318901.32,97070.37,-0.28,-0.09
000608.SZ,20210129,week,2.97,3.45,2.93,3.13,3.07,2.97,3.45,2.93,3.13,33.04,38.38,32.6,34.82,711481.76,226972.5,0.06,0.02
000608.SZ,20210122,week,3.08,3.34,2.92,3.07,2.93,3.08,3.34,2.92,3.07,34.27,37.16,32.49,34.15,623821.44,193673.61,0.14,0.05
000608.SZ,20210115,week,2.85,2.93,2.56,2.93,2.86,2.85,2.93,2.56,2.93,31.71,32.6,28.48,32.6,193411.17,53306.14,0.07,0.02
000608.SZ,20210108,week,3.16,3.16,2.78,2.86,3.13,3.16,3.16,2.78,2.86,35.16,35.16,30.93,31.82,192654.31,57039.06,-0.27,-0.09
000608.SZ,20210101,week,3.21,3.22,3.02,3.13,3.15,3.21,3.22,3.02,3.13,35.71,35.82,33.6,34.82,159411.5,49293.5,-0.02,-0.01
000608.SZ,20201225,week,3.47,3.47,3.06,3.15,3.42,3.47,3.47,3.06,3.15,38.6,38.6,34.04,35.04,207548.55,67141.97,-0.27,-0.08
000608.SZ,20201218,week,3.48,3.63,3.3,3.42,3.48,3.48,3.63,3.3,3.42,38.72,40.38,36.71,38.05,137011.56,47406.2,-0.06,-0.02
000608.SZ,20201211,week,3.86,3.86,3.29,3.48,3.84,3.86,3.86,3.29,3.48,42.94,42.94,36.6,38.72,167457.42,60918.25,-0.36,-0.09
000608.SZ,20201204,week,3.88,3.9,3.79,3.84,3.85,3.88,3.9,3.79,3.84,43.17,43.39,42.16,42.72,124406.08,47782.63,-0.01,0.0
000608.SZ,20201127,week,3.97,3.98,3.76,3.85,3.95,3.97,3.98,3.76,3.85,44.17,44.28,41.83,42.83,160499.38,62200.75,-0.1,-0.03
