股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
600580.SH,20230106,week,12.38,13.47,12.2,13.06,12.46,10.06,10.94,9.91,10.61,91.13,99.15,89.81,96.14,936062.61,1204722.89,0.6,0.05
600580.SH,20221230,week,12.12,12.81,12.09,12.46,12.12,9.85,10.41,9.82,10.12,89.22,94.3,89.0,91.72,482719.06,604763.34,0.34,0.03
600580.SH,20221223,week,13.17,13.23,12.02,12.12,13.09,10.7,10.75,9.77,9.85,96.95,97.39,88.48,89.22,616366.71,779981.96,-0.97,-0.07
600580.SH,20221216,week,13.59,13.77,12.93,13.09,13.59,11.04,11.19,10.5,10.63,100.04,101.36,95.18,96.36,722547.53,965547.32,-0.5,-0.04
600580.SH,20221209,week,14.19,14.27,13.54,13.59,13.84,11.53,11.59,11.0,11.04,104.45,105.04,99.67,100.04,979840.36,1361579.2,-0.25,-0.02
600580.SH,20221202,week,13.33,14.1,12.97,13.84,13.55,10.83,11.45,10.54,11.24,98.12,103.79,95.47,101.88,1538982.84,2061596.91,0.29,0.02
600580.SH,20221125,week,12.86,14.04,12.32,13.55,12.87,10.45,11.41,10.01,11.01,94.66,103.35,90.69,99.74,1780888.12,2397760.87,0.68,0.05
600580.SH,20221118,week,12.91,13.09,12.55,12.87,12.92,10.49,10.63,10.2,10.46,95.03,96.36,92.38,94.74,761408.94,980202.7,-0.05,0.0
600580.SH,20221111,week,13.35,13.42,12.76,12.92,13.4,10.85,10.9,10.37,10.5,98.27,98.79,93.93,95.11,725662.94,949165.6,-0.48,-0.04
600580.SH,20221104,week,12.01,13.49,12.01,13.4,11.94,9.76,10.96,9.76,10.89,88.41,99.3,88.41,98.64,917648.53,1184279.79,1.46,0.12
600580.SH,20221028,week,12.81,13.17,11.86,11.94,12.9,10.41,10.7,9.64,9.7,94.3,96.95,87.3,87.89,853903.67,1081200.78,-0.96,-0.07
600580.SH,20221021,week,12.27,13.56,12.22,12.9,12.44,9.97,11.02,9.93,10.48,90.32,99.82,89.95,94.96,1079376.52,1403288.84,0.46,0.04
600580.SH,20221014,week,11.6,12.6,11.26,12.44,11.6,9.42,10.24,9.15,10.11,85.39,92.75,82.89,91.57,777277.51,931576.04,0.84,0.07
600580.SH,20220930,week,12.2,12.54,11.54,11.6,12.38,9.91,10.19,9.38,9.42,89.81,92.31,84.95,85.39,707921.08,854909.99,-0.78,-0.06
600580.SH,20220923,week,12.1,12.78,12.01,12.38,12.17,9.83,10.38,9.76,10.06,89.07,94.07,88.41,91.13,576535.95,716703.75,0.21,0.02
600580.SH,20220916,week,13.52,13.69,12.16,12.17,13.52,10.98,11.12,9.88,9.89,99.52,100.77,89.51,89.58,619764.52,799549.99,-1.35,-0.1
600580.SH,20220909,week,13.27,14.14,13.22,13.52,13.33,10.78,11.49,10.74,10.98,97.68,104.09,97.31,99.52,800684.8,1095844.74,0.19,0.01
600580.SH,20220902,week,13.6,14.29,13.21,13.33,13.83,11.05,11.61,10.73,10.83,100.11,105.19,97.24,98.12,928581.45,1269227.66,-0.5,-0.04
600580.SH,20220826,week,15.4,15.72,13.8,13.83,15.52,12.51,12.77,11.21,11.24,113.36,115.72,101.58,101.8,1458328.89,2164590.44,-1.69,-0.11
600580.SH,20220819,week,15.45,16.7,15.28,15.52,15.64,12.55,13.57,12.41,12.61,113.73,122.93,112.48,114.24,2202241.29,3552230.41,-0.12,-0.01
600580.SH,20220812,week,15.28,16.3,14.89,15.64,15.6,12.41,13.24,12.1,12.71,112.48,119.99,109.61,115.13,3006450.67,4663194.79,0.04,0.0
600580.SH,20220805,week,14.66,15.6,13.82,15.6,14.71,11.91,12.67,11.23,12.67,107.91,114.83,101.73,114.83,2204315.14,3255827.42,0.89,0.06
600580.SH,20220729,week,14.3,15.17,13.59,14.71,14.35,11.62,12.32,11.04,11.95,105.26,111.67,100.04,108.28,1467571.8,2133283.37,0.36,0.03
600580.SH,20220722,week,14.88,15.3,14.3,14.5,14.7,11.96,12.3,11.5,11.66,108.4,111.46,104.18,105.63,1531335.82,2271556.02,-0.2,-0.01
600580.SH,20220715,week,14.06,15.19,13.74,14.7,14.06,11.3,12.21,11.05,11.82,102.43,110.66,100.1,107.09,1609420.71,2317668.24,0.64,0.05
600580.SH,20220708,week,14.02,14.77,13.68,14.06,14.0,11.27,11.88,11.0,11.3,102.14,107.6,99.66,102.43,1364649.28,1945007.57,0.06,0.0
600580.SH,20220701,week,14.5,15.66,13.86,14.0,14.42,11.66,12.59,11.14,11.26,105.63,114.08,100.97,101.99,2343568.7,3424250.71,-0.42,-0.03
600580.SH,20220624,week,13.56,14.59,13.31,14.42,13.49,10.9,11.73,10.7,11.59,98.78,106.29,96.96,105.05,2185312.7,3052339.46,0.93,0.07
600580.SH,20220617,week,12.99,13.76,12.71,13.49,13.08,10.44,11.06,10.22,10.85,94.63,100.24,92.59,98.27,1948603.1,2587136.0,0.41,0.03
600580.SH,20220610,week,12.88,13.24,12.07,13.08,12.88,10.36,10.65,9.7,10.52,93.83,96.45,87.93,95.29,1221927.79,1552629.1,0.2,0.02
